22:38:18.07,->,ID,,DLC,,,DATA,,,,
22:38:28.15,->,450,8,0,0,0,0,0,0,B,0
22:38:28.18,->,540,8,4,0,0,0,0,0,0,0
22:38:28.22,->,540,8,6,0,0,0,0,0,0,0
22:38:28.25,->,550,8,10,0,0,0,0,0,0,50
22:38:28.28,->,450,8,0,0,0,0,0,0,B,0
22:38:28.28,->,540,8,6,0,0,0,0,0,0,0
22:38:28.32,->,450,8,0,0,0,0,0,0,B,0
22:38:28.35,->,550,8,10,0,0,0,0,0,0,90
22:38:28.38,->,450,8,0,0,0,0,0,0,B,0
22:38:28.38,->,540,8,6,0,0,0,0,0,0,0
22:38:28.42,->,450,8,0,0,0,0,0,0,B,0
22:38:28.45,->,550,8,10,0,0,0,0,0,0,D0
22:38:28.48,->,450,8,0,0,0,0,0,0,B,0
22:38:28.48,->,540,8,6,0,0,0,0,0,0,0
22:38:28.52,->,550,8,10,0,0,0,0,0,0,50
22:38:28.55,->,450,8,0,0,0,0,0,0,B,0
22:38:28.58,->,540,8,2,0,0,1,11,0,1,D6
22:38:28.62,->,540,8,6,0,0,0,0,0,0,0
22:38:28.62,->,550,8,10,0,0,0,0,0,0,90
22:38:28.65,->,450,8,0,0,0,0,0,0,B,0
22:38:28.68,->,540,8,2,0,0,1,11,0,1,D6
22:38:28.72,->,540,8,6,0,0,0,0,0,0,0
22:38:28.72,->,550,8,10,0,0,0,0,0,0,D0
22:38:28.75,->,450,8,0,0,0,0,0,0,B,0
22:38:28.78,->,541,8,2,0,0,0,0,0,FF,FF
22:38:28.82,->,540,8,6,0,0,0,0,0,0,0
22:38:28.85,->,550,8,10,0,0,0,0,0,0,50
22:38:28.85,->,450,8,0,0,0,0,0,0,B,0
22:38:28.88,->,540,8,4,0,0,0,0,0,0,0
22:38:28.91,->,540,8,6,0,0,0,0,0,0,0
22:38:28.95,->,550,8,10,0,0,0,0,0,0,90
22:38:28.95,->,450,8,0,0,0,0,0,0,B,0
22:38:28.98,->,540,8,4,0,0,0,0,0,0,0
22:38:29.01,->,540,8,6,0,0,0,0,0,0,0
22:38:29.05,->,550,8,10,0,0,0,0,0,0,D0
22:38:29.08,->,450,8,0,0,0,0,0,0,B,0
22:38:29.08,->,540,8,4,0,0,0,0,0,0,0
22:38:29.12,->,540,8,6,0,0,0,0,0,0,0
22:38:29.15,->,550,8,10,0,0,0,0,0,0,50
22:38:29.18,->,450,8,0,0,0,0,0,0,B,0
22:38:29.18,->,540,8,4,0,0,0,0,0,0,0
22:38:29.22,->,540,8,6,0,0,0,0,0,0,0
22:38:29.25,->,550,8,10,0,0,0,0,0,0,90
22:38:29.28,->,450,8,0,0,0,0,0,0,B,0
22:38:29.28,->,540,8,6,0,0,0,0,0,0,0
22:38:29.32,->,450,8,0,0,0,0,0,0,B,0
22:38:29.35,->,550,8,10,0,0,0,0,0,0,D0
22:38:29.38,->,450,8,0,0,0,0,0,0,B,0
22:38:29.38,->,540,8,6,0,0,0,0,0,0,0
22:38:29.41,->,550,8,10,0,0,0,0,0,0,50
22:38:29.45,->,450,8,0,0,0,0,0,0,B,0
22:38:29.48,->,550,8,10,0,0,0,0,0,0,70
22:38:29.51,->,540,8,6,0,0,0,0,0,0,0
22:38:29.51,->,550,8,10,0,0,0,0,0,0,90
22:38:29.55,->,450,8,0,0,0,0,0,0,B,0
22:38:29.58,->,540,8,2,0,0,1,11,0,1,D6
22:38:29.62,->,540,8,6,0,0,0,0,0,0,0
22:38:29.62,->,550,8,10,0,0,0,0,0,0,D0
22:38:29.65,->,450,8,0,0,0,0,0,0,B,0
22:38:29.68,->,541,8,2,0,0,0,0,0,FF,FF
22:38:29.72,->,540,8,6,0,0,0,0,0,0,0
22:38:29.75,->,550,8,10,0,0,0,0,0,0,50
22:38:29.75,->,450,8,0,0,0,0,0,0,B,0
22:38:29.78,->,540,8,4,0,0,0,0,0,0,0
22:38:29.82,->,540,8,6,0,0,0,0,0,0,0
