22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:31.55,->,550,8,10,0,0,0,0,0,0,B0,
22:24:31.58,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.62,->,550,8,10,0,0,0,0,0,0,D0,
22:24:31.65,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.65,->,550,8,10,0,0,0,0,0,0,30,
22:24:31.68,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.71,->,550,8,10,0,0,0,0,0,0,50,
22:24:31.75,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.75,->,550,8,10,0,0,0,0,0,0,70,
22:24:31.78,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.81,->,550,8,10,0,0,0,0,0,0,90,
22:24:31.85,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.88,->,550,8,10,0,0,0,0,0,0,B0,
22:24:31.88,->,550,8,10,0,0,0,0,0,0,D0,
22:24:31.91,->,450,8,0,0,0,0,0,0,B,0,
22:24:31.95,->,550,8,10,0,0,0,0,0,0,30,
22:24:31.98,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.01,->,550,8,10,0,0,0,0,0,0,50,
22:24:32.01,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.05,->,550,8,10,0,0,0,0,0,0,70,
22:24:32.08,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.11,->,550,8,10,0,0,0,0,0,0,90,
22:24:32.11,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.15,->,550,8,10,0,0,0,0,0,0,B0,
22:24:32.18,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.21,->,550,8,10,0,0,0,0,0,0,D0,
22:24:32.25,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.25,->,550,8,10,0,0,0,0,0,0,30,
22:24:32.28,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.31,->,550,8,10,0,0,0,0,0,0,50,
22:24:32.35,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.38,->,550,8,10,0,0,0,0,0,0,70,
22:24:32.38,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.41,->,550,8,10,0,0,0,0,0,0,90,
22:24:32.45,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.48,->,550,8,10,0,0,0,0,0,0,B0,
22:24:32.48,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.51,->,550,8,10,0,0,0,0,0,0,D0,
22:24:32.55,->,550,8,10,0,0,0,0,0,0,30,
22:24:32.58,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.61,->,550,8,10,0,0,0,0,0,0,50,
22:24:32.61,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.64,->,550,8,10,0,0,0,0,0,0,70,
22:24:32.68,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.71,->,550,8,10,0,0,0,0,0,0,90,
22:24:32.74,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.74,->,550,8,10,0,0,0,0,0,0,B0,
22:24:32.78,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.81,->,550,8,10,0,0,0,0,0,0,D0,
22:24:32.84,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.84,->,550,8,10,0,0,0,0,0,0,30,
22:24:32.88,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.91,->,550,8,10,0,0,0,0,0,0,50,
22:24:32.94,->,450,8,0,0,0,0,0,0,B,0,
22:24:32.98,->,550,8,10,0,0,0,0,0,0,70,
22:24:32.98,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.01,->,550,8,10,0,0,0,0,0,0,90,
22:24:33.04,->,450,8,0,0,0,0,0,0,B,0,
22:24:33.08,->,550,8,10,0,0,0,0,0,0,B0,
22:24:33.08,->,450,8,0,0,0,0,0,0,B,0,
